83,6649
52,4429
66,18819
45,15084
63,29619
20,10009
79,22129
59,6204
32,13929
42,3999
41,12309
71,12789
51,2304
33,5454
85,39959
30,5559
59,22134
18,3969
63,24579
29,2329
25,2884
4,1169
94,24919
66,24429
53,4249
59,26264
43,14199
93,18144
70,29059
87,879
9,864
82,3289
23,6334
95,26134
54,4059
35,8934
10,3359
12,4689
49,18629
78,12489
80,23609
55,9634
63,10089
44,4189
26,2479
2,599
18,2349
69,23814
56,14569
32,12329
25,10384
26,1829
9,1449
63,24894
15,2184
31,3109
49,20834
12,5289
16,249
26,7549
69,6219
100,22009
60,609
36,6309
21,5469
42,6729
8,1289
14,5469
78,19899
9,2034
36,8829
76,24709
8,2369
70,21709
85,36984
70,709
98,31859
76,23189
87,29589
87,36114
46,10359
33,1329
17,7064
29,14219
66,32349
98,989
93,6054
37,13329
1,154
19,6184
19,3334
54,25929
43,3664
96,1449
77,34659
96,31209
86,2589
90,26559
72,7569
